id,state,district,village,asset_type,asset_name,asset_holder_name,area_ha,ndvi,ndwi,confidence_score,gps_lat,gps_lon,status,last_survey_date,notes,Jal_Jeevan_Mission,MGNREGA,DAJGUA
1,Madhya Pradesh,Bhopal,Kamlapur,pond,Kamlapur Community Pond,Arunendra Singh,0.85,0.12,0.482,0.92,23.234567,77.4321,active,2025-07-12,"identified by NDWI, field verified",no,no,no
2,Madhya Pradesh,Indore,Gandhinagar,farm,Gandhinagar Farm Patch A,Meera Patel,1.2,0.421,0.032,0.88,22.719568,75.857727,active,2025-06-30,smallholder mixed cropping,no,no,no
3,Madhya Pradesh,Jabalpur,Bela,forest,Bela Reserved Coppice,Rohit Verma,3.4,0.665,0.012,0.95,22.838784,79.857045,good,2025-07-03,good canopy cover,no,no,no
4,Madhya Pradesh,Rewa,Sukhi,pond,Sukhi Village Pond,Lalita Tiwari,0.45,0.098,0.511,0.86,24.536789,81.300123,seasonal,2025-05-28,shrinking in dry months,no,no,no
5,Madhya Pradesh,Satna,Pahadi,farm,Pahadi Terrace Farm,Saurabh Mishra,0.98,0.378,0.021,0.91,24.590123,80.875432,active,2025-07-08,terraced fields,no,no,no
6,Madhya Pradesh,Ujjain,Kheda,forest,Kheda Community Woodland,Sunita Jain,2.1,0.543,0.01,0.89,23.17789,75.784321,degraded,2025-04-20,evidence of grazing,no,no,no
7,Madhya Pradesh,Gwalior,Chandpur,pond,Chandpur Waterbody,Vikram Rathore,1.1,0.08,0.52,0.87,26.230456,78.177321,active,2025-06-15,used for irrigation,no,no,no
8,Madhya Pradesh,Sagar,Haripur,farm,Haripur Paddy Field,Bhavna Dubey,1.55,0.462,0.045,0.94,24.150321,78.745612,active,2025-07-01,paddy during monsoon,no,no,no
9,Madhya Pradesh,Dewas,Ramnagar,forest,Ramnagar Community Forest,Nitin Khandelwal,4.8,0.701,0.008,0.96,22.96321,76.061234,good,2025-07-10,dense canopy,no,no,no
10,Madhya Pradesh,Sehore,Durgapur,pond,Durgapur Village Tank,Kavita Sharma,0.6,0.11,0.498,0.9,23.200123,77.083456,seasonal,2025-05-20,scattered water hyacinth,no,no,no
11,Tripura,West Tripura,Bishalgarh,pond,Bishalgarh Pond 1,Anirban Roy,0.3,0.05,0.61,0.93,23.5178,91.4612,active,2025-07-05,clear water signature,no,no,no
12,Tripura,North Tripura,Kumarghat,farm,Kumarghat Betel Farm,Pratima Deb,0.7,0.512,0.02,0.9,24.044321,91.838765,active,2025-06-22,areca & betel cultivation,no,no,no
13,Tripura,South Tripura,Udaipur,forest,Udaipur Sacred Grove,Sukanya Chakraborty,1.8,0.732,0.005,0.97,23.550123,91.463987,good,2025-07-09,"sacred grove, dense understorey",no,no,no
14,Tripura,Dhalai,Ambassa,pond,Ambassa Community Tank,Ranjit Saha,0.25,0.04,0.598,0.85,23.837654,91.777888,seasonal,2025-05-30,small but important,no,no,no
15,Tripura,North Tripura,Kanchanpur,farm,Kanchanpur Vegetable Plot,Monoj Kumar,0.42,0.398,0.012,0.86,24.010432,91.828901,active,2025-06-18,smallholder veg,no,no,no
16,Tripura,West Tripura,Jirania,forest,Jirania Community Forest,Tania Mitra,2.3,0.654,0.006,0.92,23.702111,91.333444,good,2025-07-02,regenerating secondary forest,no,no,no
17,Tripura,Gomati,Kailashahar,pond,Kailashahar Waterbody,Sourav Barman,0.55,0.095,0.522,0.88,23.802345,91.294567,active,2025-06-05,used for fishery,no,no,no
18,Tripura,Sepahijala,Jampui,farm,Jampui Hill Farm,Indrani Sinha,0.95,0.482,0.018,0.91,23.900987,91.392345,active,2025-07-06,fruits & mixed cropping,no,no,no
19,Tripura,Dhalai,Rajnagar,forest,Rajnagar Reserved Patch,Amitava Dey,3.6,0.689,0.009,0.94,23.736543,91.65321,good,2025-06-28,connected corridor,no,no,no
20,Tripura,West Tripura,Boxanagar,pond,Boxanagar Traditional Tank,Namita Pal,0.4,0.12,0.545,0.87,23.45789,91.256789,seasonal,2025-05-18,siltation noted,no,no,no
21,Odisha,Puri,Chandipur,pond,Chandipur Coastal Pond,Biswajit Sahu,0.65,0.175,0.472,0.89,19.81321,85.856432,active,2025-07-11,"near coast, saline influence",no,no,no
22,Odisha,Sambalpur,Jharsuguda,farm,Jharsuguda Small Farm,Sanskriti Pradhan,1.3,0.401,0.028,0.9,21.46789,83.977345,active,2025-06-29,oilseeds & pulses,no,no,no
23,Odisha,Koraput,Sunabeda,forest,Sunabeda Tribal Forest,Kartik Nayak,5.2,0.721,0.004,0.98,18.754321,83.887654,good,2025-07-07,dense native species,no,no,no
24,Odisha,Cuttack,Nayagarh,pond,Nayagarh Village Tank,Pramod Rout,0.5,0.105,0.499,0.86,20.280123,85.84621,seasonal,2025-05-22,used for livestock,no,no,no
25,Odisha,Ganjam,Berhampur,farm,Berhampur Coastal Farm,Lipika Sethi,2.0,0.448,0.035,0.92,19.31789,84.794321,active,2025-07-02,coastal agriculture,no,no,no
26,Odisha,Mayurbhanj,Baripada,forest,Baripada Community Woodland,Sandeep Behera,3.0,0.678,0.007,0.95,21.930123,86.710987,good,2025-07-04,community conserved area,no,no,no
27,Odisha,Balasore,Remuna,pond,Remuna Irrigation Tank,Namrata Mishra,0.9,0.13,0.505,0.88,21.486789,86.931234,active,2025-06-12,siltation moderate,no,no,no
28,Odisha,Khordha,Bhubaneswar,farm,Bhubaneswar Peri-urban Farm,Arindam Mohanty,0.78,0.395,0.022,0.89,20.296059,85.824539,active,2025-06-25,vegetable market supply,no,no,no
29,Odisha,Kalahandi,Junagarh,forest,Junagarh Community Woodlot,Sujata Panda,2.9,0.612,0.006,0.91,19.845321,83.164321,degraded,2025-04-15,selective cutting observed,no,no,no
30,Odisha,Nabarangpur,Tentulipadar,pond,Tentulipadar Tank,Bhabani Soren,0.35,0.09,0.517,0.86,19.400123,82.63789,seasonal,2025-05-10,fuelwood collection nearby,no,no,no
31,Telangana,Hyderabad,Malkajgiri,pond,Malkajgiri Village Pond,Rajesh Guduru,0.58,0.112,0.487,0.89,17.500123,78.550321,active,2025-07-08,urban fringe pond,no,no,no
32,Telangana,Warangal,Narsampet,farm,Narsampet Cotton Farm,Padmaja Reddy,1.6,0.362,0.018,0.9,17.966432,79.539876,active,2025-06-20,cotton & pulses,no,no,no
33,Telangana,Khammam,Kothagudem,forest,Kothagudem Community Forest,Sanjeev Yadav,4.5,0.688,0.01,0.95,17.250987,80.650123,good,2025-07-03,good tree cover,no,no,no
34,Telangana,Nizamabad,Bodhan,pond,Bodhan Traditional Tank,Farida Begum,0.48,0.095,0.53,0.86,18.671234,78.679012,seasonal,2025-05-27,used for livestock & washing,no,no,no
35,Telangana,Karimnagar,Jagtial,farm,Jagtial Millet Patch,Koteswara Rao,1.05,0.442,0.025,0.91,18.500123,79.55821,active,2025-06-30,rains dependent,no,no,no
36,Telangana,Mahbubnagar,Gadwal,forest,Gadwal Community Woodland,Shyamala Devi,3.7,0.599,0.009,0.93,16.34789,77.989123,degraded,2025-04-28,grazing & small fires,no,no,no
37,Telangana,Rangareddy,Shadnagar,pond,Shadnagar Recharge Pond,Venkatesh Tummala,0.7,0.128,0.469,0.88,17.110987,78.200456,active,2025-07-01,managed recharge structure,no,no,no
38,Telangana,Adilabad,Boath,farm,Boath Hill Farm,Gowri Shankar,0.88,0.408,0.015,0.9,19.166789,78.532123,active,2025-06-18,mixed smallholder,no,no,no
39,Telangana,Medak,Sadasivpet,forest,Sadasivpet Village Grove,Rajeswari K,2.6,0.63,0.007,0.92,17.87321,78.182345,good,2025-07-06,nutrient-rich soils,no,no,no
40,Telangana,Nalgonda,Chityal,pond,Chityal Community Tank,Anand Kumar,0.52,0.1,0.501,0.87,17.05789,79.270123,seasonal,2025-05-15,community-managed,no,no,no
41,Madhya Pradesh,Gwalior,Jivikapur,community_tap,Jivikapur Community_Tap,Amira Krish,2.82,0.071,0.267,0.91,23.303345,90.727566,good,2025-04-08,Jal Jeevan Mission asset verified under field survey,yes,no,no
42,Telangana,Warangal,Ivanpur,community_tap,Ivanpur Community_Tap,Siya Grewal,4.95,0.654,0.492,0.87,21.068474,87.553631,good,2025-08-10,Jal Jeevan Mission asset verified under field survey,yes,no,no
43,Telangana,Khammam,Nakulpur,plantation,Nakulpur Plantation,Azad Shukla,1.17,0.789,0.603,0.86,23.895467,87.351151,needs repair,2025-04-12,MGNREGA asset verified under field survey,no,yes,no
44,Odisha,Koraput,Anaypur,farm_pond,Anaypur Farm_Pond,Prerak Gour,3.06,0.426,0.077,0.82,26.086389,81.563295,good,2025-04-26,MGNREGA asset verified under field survey,no,yes,no
45,Odisha,Puri,Raniapur,solar_pump,Raniapur Solar_Pump,Mishti Desai,1.7,0.348,0.14,0.82,19.918517,82.268728,good,2025-08-20,DAJGUA asset verified under field survey,no,no,yes
